39.3|0.005|4981.599
39.8|0.005|4944.437
38.3|0.016|4969.809
34.9|0.009|4954.799
39.2|0.004|4963.077
39.9|0.003|4963.112
40.1|0.005|4968.215
39.9|0.004|4973.693
36.6|0.018|4992.443
39.6|0.006|4992.951
39.9|0.005|4993.123
40.0|0.005|4994.578
40.0|0.005|4994.750
40.0|0.005|4995.552
31.7|0.013|4972.016
39.2|0.005|4979.181
40.0|0.003|4979.374
39.9|0.004|4995.710
40.1|0.003|4995.882
36.9|0.010|4974.201
38.5|0.007|4972.782
39.9|0.005|4998.201
40.0|0.005|4998.373
39.9|0.005|5001.879
40.0|0.005|5002.051
40.0|0.004|5002.297
40.4|0.013|4994.439
32.7|0.012|5004.516
29.6|0.019|4986.549
36.7|0.008|5007.872
39.7|0.005|5008.295
40.0|0.004|5010.794
34.7|0.009|5026.817
39.4|0.005|5026.978
32.2|0.015|5025.150
39.0|0.006|5028.089
39.9|0.005|5028.512
40.1|0.005|5028.547
40.0|0.006|5030.350
38.0|0.008|5005.231
38.5|0.006|5006.300
39.8|0.005|5007.081
40.0|0.004|5010.244
39.9|0.004|5010.490
40.1|0.004|5010.662
40.0|0.006|5047.044
36.8|0.008|4981.416
38.3|0.007|4990.706
38.3|0.006|4990.899
39.7|0.005|4991.164
40.0|0.004|4998.622
40.0|0.005|4998.868
39.9|0.005|4999.807
40.1|0.005|5000.053
39.9|0.005|5001.645
40.1|0.005|5001.891
40.1|0.004|5002.063
40.1|0.004|5002.309
40.1|0.005|5003.900
40.1|0.005|5004.165
40.1|0.005|5004.337
40.0|0.005|5004.602
39.9|0.005|5011.577
40.1|0.005|5011.842
26.2|0.028|5036.507
37.0|0.008|4990.938
39.6|0.016|5007.127
33.3|0.011|5054.110
39.1|0.005|5054.375
39.8|0.007|5030.284
35.3|0.011|5031.591
39.4|0.005|5032.426
40.1|0.005|5032.797
40.1|0.004|5034.639
40.1|0.004|5039.853
35.7|0.008|5039.926
36.4|0.009|5039.961
38.0|0.007|5042.225
37.5|0.007|5042.260
39.8|0.005|5042.643
40.1|0.004|5042.678
32.4|0.012|4965.025
39.0|0.013|4993.697
39.5|0.013|4993.891
39.1|0.006|4994.155
39.9|0.005|5001.691
32.0|0.013|5032.650
38.8|0.008|5039.586
36.5|0.009|5039.621
32.8|0.013|5033.021
38.8|0.013|4976.931
33.7|0.011|5015.588
39.2|0.005|5016.388
39.8|0.010|5002.987
38.0|0.007|5003.022
39.6|0.005|5003.427
34.9|0.010|4962.248
39.3|0.005|4969.704
37.1|0.008|5002.636
39.6|0.005|5002.808
33.9|0.012|5027.729
39.3|0.007|5027.922
40.1|0.005|5009.196
37.7|0.008|5001.534
36.6|0.008|5003.838
34.3|0.013|5037.363
39.4|0.005|4976.799
31.8|0.013|4980.258
39.1|0.005|4982.174
39.9|0.005|4988.059
40.3|0.008|5041.813
38.7|0.006|5041.984
31.4|0.015|5024.084
38.8|0.006|5024.277
40.4|0.008|4975.081
37.8|0.008|5031.239
33.3|0.011|4971.431
39.5|0.005|4971.624
32.4|0.015|4965.757
39.0|0.005|4966.110
40.1|0.007|5029.592
31.6|0.013|5029.764
33.2|0.013|4964.477
38.9|0.005|4964.670
38.6|0.008|5001.308
39.8|0.007|5041.945
39.3|0.005|5028.537
39.9|0.007|5028.730
40.1|0.005|5008.748
38.5|0.006|5021.893
35.5|0.009|5004.800
39.1|0.005|5005.528
36.8|0.009|5032.624
33.1|0.014|4984.100
38.9|0.006|4984.135
39.8|0.004|4985.074
40.0|0.006|4986.455
35.0|0.010|5025.735
30.9|0.016|4998.484
38.5|0.006|5001.963
34.1|0.009|4959.251
38.0|0.015|4983.053
38.9|0.005|4983.246
40.0|0.007|5030.790
40.1|0.005|4966.310
38.3|0.006|4966.574
33.7|0.011|4967.294
39.2|0.016|4998.182
38.4|0.017|5007.706
34.7|0.010|4968.743
39.4|0.005|4968.937
39.8|0.004|4971.304
36.8|0.014|5108.365
39.5|0.007|5111.604
36.8|0.014|5127.751
39.7|0.007|5092.523
39.9|0.006|5092.695
40.1|0.007|5092.730
40.1|0.007|5094.040
40.1|0.006|5137.006
38.8|0.005|5144.011
39.9|0.011|5144.046
38.9|0.005|5082.383
40.0|0.016|5063.650
33.2|0.015|5078.994
39.1|0.007|5057.242
40.0|0.006|5059.242
40.1|0.006|5064.813
40.0|0.006|5065.752
40.0|0.005|5065.998
40.1|0.006|5067.590
40.0|0.006|5067.836
40.1|0.006|5068.008
40.2|0.018|5051.134
35.0|0.010|5115.288
39.3|0.006|5115.323
40.0|0.005|5115.746
40.1|0.006|5115.781
31.5|0.017|5049.368
38.7|0.007|5049.562
39.9|0.017|5088.248
39.0|0.007|5088.420
40.0|0.006|5090.547
39.9|0.006|5103.438
33.9|0.013|5117.600
39.2|0.006|5119.195
39.8|0.006|5121.498
40.1|0.006|5122.312
40.1|0.006|5122.683
40.0|0.006|5123.351
40.0|0.006|5130.116
40.0|0.006|5130.288
40.1|0.006|5130.534
28.8|0.028|5070.498
33.5|0.013|5061.896
39.1|0.007|5062.090
34.3|0.012|5105.840
39.3|0.006|5109.770
39.9|0.006|5110.569
39.9|0.006|5110.741
40.1|0.006|5110.987
40.0|0.006|5112.579
40.1|0.006|5118.421
40.0|0.006|5118.593
40.1|0.006|5118.839
40.1|0.006|5120.431
29.8|0.018|5146.385
38.5|0.008|5073.463
39.8|0.006|5073.728
40.1|0.006|5076.324
39.9|0.006|5076.570
40.1|0.006|5076.764
40.0|0.006|5077.010
40.0|0.006|5079.326
40.1|0.008|5084.443
40.0|0.006|5084.615
40.0|0.006|5085.947
39.9|0.006|5087.148
32.8|0.014|5135.322
39.2|0.007|5135.516
39.9|0.006|5136.315
39.8|0.006|5113.833
40.0|0.007|5114.079
33.4|0.015|5042.456
35.8|0.020|5059.752
33.9|0.013|5111.761
39.3|0.007|5112.563
39.9|0.006|5112.985
39.9|0.006|5115.112
40.0|0.007|5115.284
40.0|0.006|5115.530
40.1|0.013|5114.271
37.1|0.010|5116.594
37.2|0.018|5113.741
38.6|0.007|5113.776
39.9|0.006|5114.199
39.9|0.006|5102.118
39.9|0.014|5075.707
39.0|0.007|5075.879
40.0|0.006|5076.125
40.0|0.006|5077.717
34.6|0.012|5113.024
39.4|0.006|5113.698
38.4|0.016|5050.627
30.1|0.027|5097.928
35.3|0.011|5052.003
39.4|0.006|5052.196
40.0|0.006|5054.030
34.2|0.014|5105.378
39.1|0.007|5105.413
40.0|0.006|5105.796
28.8|0.020|5106.267
38.4|0.008|5037.841
33.2|0.013|5038.287
39.1|0.007|5040.797
38.0|0.008|5043.839
39.6|0.018|5049.479
31.9|0.015|5098.596
38.8|0.006|5098.789
39.9|0.006|5100.990
40.0|0.008|5109.853
36.4|0.009|5035.897
33.6|0.024|5108.913
37.8|0.009|5030.624
26.5|0.022|5069.854
33.5|0.013|5106.725
39.1|0.006|5107.468
40.0|0.005|5109.514
40.1|0.006|5109.896
40.0|0.005|5109.932
40.0|0.005|5110.314
40.1|0.006|5111.770
40.0|0.006|5118.713
40.1|0.006|5118.748
32.3|0.015|5073.835
38.9|0.015|5071.868
34.9|0.011|5064.610
31.9|0.016|5102.459
27.5|0.033|5028.065
36.6|0.009|5064.352
39.5|0.006|5064.545
40.1|0.009|5114.662
40.1|0.007|5126.592
40.0|0.024|5152.166
35.5|0.011|5139.970
39.3|0.007|5140.005
40.0|0.007|5142.756
40.0|0.007|5142.791
37.8|0.008|5118.857
37.6|0.008|5118.893
39.7|0.006|5135.280
40.1|0.005|5135.315
33.1|0.014|5081.511
34.9|0.013|5066.206
39.4|0.007|5115.071
39.9|0.007|5120.586
40.2|0.006|5120.987
39.8|0.006|5121.519
40.1|0.006|5122.825
40.0|0.007|5122.860
40.0|0.006|5121.743
40.0|0.006|5122.274
40.1|0.007|5123.581
40.0|0.006|5124.206
40.0|0.006|5124.694
28.0|0.030|5109.399
37.1|0.009|5139.634
37.7|0.020|5102.495
38.5|0.008|5141.904
40.0|0.007|5144.050
34.5|0.013|5073.737
39.3|0.007|5074.640
40.0|0.007|5075.063
40.1|0.006|5078.598
40.1|0.006|5078.844
39.7|0.006|5079.016
39.7|0.006|5079.262
40.0|0.006|5080.854
39.9|0.006|5086.770
39.8|0.006|5086.941
39.8|0.006|5087.188
39.9|0.007|5088.779
40.2|0.006|5089.044
40.0|0.008|5089.911
40.1|0.006|5090.176
40.2|0.006|5091.768
40.2|0.006|5092.032
40.0|0.006|5092.455
40.2|0.006|5092.986
39.9|0.006|5094.312
40.1|0.006|5099.109
40.2|0.006|5099.511
40.2|0.006|5100.632
39.7|0.006|5102.063
40.1|0.006|5102.098
40.0|0.006|5102.499
30.8|0.023|5146.136
37.8|0.008|5145.902
31.1|0.017|5142.814
38.8|0.008|5143.008
39.6|0.007|5145.830
40.1|0.010|5152.766
32.2|0.015|5146.888
39.1|0.008|5147.081
39.9|0.007|5149.208
40.0|0.007|5149.380
39.9|0.007|5149.626
25.7|0.031|5149.400
36.7|0.010|5110.460
39.5|0.007|5111.203
39.9|0.006|5111.238
38.7|0.007|5111.621
39.9|0.006|5113.882
39.8|0.006|5120.556
40.0|0.006|5120.591
36.9|0.012|5106.290
35.8|0.011|5097.778
38.2|0.008|5143.478
37.3|0.009|5143.513
39.6|0.007|5144.431
40.0|0.006|5134.982
39.9|0.006|5131.822
40.1|0.006|5127.498
40.0|0.008|5126.167
40.1|0.007|5095.003
31.4|0.025|5105.013
37.5|0.008|5049.375
39.6|0.007|5050.855
40.1|0.006|5050.891
40.0|0.006|5051.273
40.0|0.006|5051.309
40.1|0.006|5053.878
39.9|0.005|5054.050
40.0|0.006|5054.296
40.1|0.007|5054.468
40.2|0.007|5055.970
36.7|0.023|5128.502
38.4|0.008|5105.877
39.9|0.006|5106.300
40.1|0.006|5108.791
40.1|0.007|5109.174
35.1|0.024|5097.825
37.8|0.008|5105.591
39.9|0.006|5107.845
40.1|0.006|5108.017
40.1|0.006|5108.263
40.0|0.006|5108.931
40.1|0.006|5110.101
40.1|0.006|5116.993
40.0|0.006|5117.239
40.0|0.006|5118.549
40.0|0.006|5119.844
37.1|0.021|5117.084
38.7|0.007|5117.119
39.9|0.006|5118.037
39.6|0.006|5119.418
31.8|0.016|5089.839
39.0|0.006|5090.034
39.7|0.008|5092.468
39.3|0.007|5100.098
38.3|0.008|5106.494
34.5|0.013|5101.189
39.3|0.007|5103.264
40.1|0.006|5103.510
39.9|0.020|5099.103
38.7|0.007|5052.408
39.8|0.007|5055.420
40.1|0.006|5055.455
40.1|0.008|5055.838
34.5|0.013|5117.051
39.4|0.009|5068.985
36.7|0.011|5123.971
39.7|0.007|5124.164
36.9|0.009|5051.472
27.7|0.020|5092.991
37.9|0.010|5054.058
35.1|0.011|5117.025
28.5|0.021|5116.052
38.6|0.010|5057.397
39.9|0.007|5057.662
29.0|0.019|5099.738
35.6|0.013|5133.902
35.0|0.011|5135.902
39.3|0.018|5132.190
39.1|0.007|5132.384
40.0|0.007|5133.165
37.1|0.017|5089.638
35.0|0.011|5141.274
38.8|0.006|5141.468
39.9|0.007|5066.728
40.1|0.007|5109.410
40.1|0.007|5111.207
35.7|0.017|5155.084
39.5|0.009|5157.160
39.9|0.007|5157.332
40.1|0.008|5162.729
40.1|0.009|5162.901
40.1|0.008|5164.493
40.0|0.008|5149.689
39.9|0.008|5150.649
39.9|0.008|5140.813
40.0|0.007|5142.813
40.2|0.010|5130.636
29.8|0.020|5150.693
38.7|0.009|5128.888
39.8|0.007|5146.267
40.0|0.007|5151.738
40.0|0.007|5152.140
40.1|0.006|5152.175
40.0|0.006|5154.744
40.1|0.007|5154.779
40.0|0.010|5132.727
38.0|0.009|5133.297
39.3|0.018|5169.307
39.0|0.008|5169.342
39.9|0.008|5158.965
34.3|0.015|5185.967
39.3|0.008|5188.470
40.0|0.008|5195.128
39.9|0.007|5195.300
40.1|0.007|5196.966
40.0|0.017|5153.160
33.5|0.014|5172.652
39.2|0.007|5172.846
40.0|0.007|5175.047
40.1|0.007|5175.219
40.1|0.006|5175.465
40.1|0.006|5175.637
40.1|0.006|5178.088
39.9|0.007|5183.887
40.0|0.007|5184.151
39.9|0.007|5184.323
39.9|0.007|5186.008
39.9|0.007|5186.180
40.0|0.007|5171.396
39.9|0.008|5189.249
40.2|0.009|5131.206
38.4|0.009|5159.003
38.3|0.009|5172.729
39.9|0.009|5190.168
32.9|0.015|5158.570
39.0|0.009|5174.906
38.3|0.009|5175.171
29.5|0.029|5191.319
36.9|0.010|5190.794
39.3|0.009|5191.217
36.0|0.012|5116.034
39.6|0.009|5119.622
40.0|0.008|5119.887
32.4|0.016|5162.252
39.1|0.008|5162.287
39.9|0.008|5165.439
39.9|0.008|5165.475
39.3|0.009|5171.484
40.0|0.008|5171.520
40.1|0.008|5173.322
40.1|0.008|5173.357
39.9|0.007|5174.507
40.1|0.007|5174.542
40.1|0.008|5176.345
40.0|0.007|5176.380
40.0|0.007|5176.781
40.0|0.007|5176.816
26.6|0.019|5177.943
38.0|0.009|5112.400
34.8|0.013|5107.586
39.3|0.008|5107.781
39.9|0.008|5111.646
35.0|0.013|5167.829
29.5|0.022|5205.406
38.3|0.010|5146.705
39.9|0.007|5148.947
36.9|0.012|5128.078
28.9|0.020|5174.297
38.5|0.009|5170.579
34.7|0.020|5186.242
38.5|0.009|5116.461
38.2|0.010|5117.386
35.9|0.012|5173.093
39.4|0.017|5171.672
35.9|0.012|5104.813
39.6|0.007|5105.078
39.9|0.007|5107.261
40.0|0.007|5107.507
31.7|0.016|5180.301
32.8|0.016|5135.954
39.1|0.008|5138.721
40.2|0.019|5095.709
39.0|0.008|5101.244
37.7|0.011|5091.261
37.3|0.010|5093.261
36.8|0.010|5117.298
35.8|0.012|5134.277
29.3|0.028|5078.524
34.7|0.012|5072.423
39.2|0.007|5072.848
40.0|0.007|5073.327
40.0|0.007|5073.573
40.3|0.020|5133.318
38.7|0.009|5137.772
34.3|0.013|5135.057
39.2|0.008|5135.627
36.7|0.012|5088.425
32.5|0.018|5103.317
36.8|0.010|5099.854
39.5|0.007|5072.482
40.0|0.007|5072.676
40.0|0.006|5072.922
36.2|0.024|5128.926
38.1|0.009|5110.898
33.8|0.015|5114.301
39.1|0.008|5119.600
39.9|0.007|5119.982
32.0|0.025|5099.297
34.4|0.013|5145.912
39.3|0.007|5146.714
40.0|0.007|5147.118
37.9|0.011|5112.558
36.4|0.011|5123.924
36.8|0.020|5117.534
38.7|0.008|5133.619
34.6|0.012|5067.370
39.4|0.008|5081.967
34.6|0.012|5155.438
37.0|0.008|5094.134
27.9|0.022|5104.320
36.3|0.012|5063.903
35.0|0.012|5064.326
39.5|0.007|5064.896
36.4|0.024|5123.806
37.7|0.009|5135.770
31.9|0.018|5103.963
